world,mode,seed,declared_horizon,intervention_cycle,n_f,failed,first_failure_cycle,first_failure_signature,same_failure_returned,same_failure_return_cycle,cycles_until_same_failure_returns,correct_decisions_post_handoff,decision_opportunities_post_handoff,post_handoff_decision_accuracy,policy_violations,final_config_accuracy,final_requirement_accuracy,retained_retry_demand,retained_latency_floor,retained_risk_tolerance,retained_memory_horizon,retained_handoff_depth,retained_token_capacity,packet_bytes,packet_tokens,evidence_reads,accepted_handoffs,rejected_handoffs,undecidable_handoffs
stateful_task,continuous_control,9135,320,80,96,1,96,required_state_loss,1,160,64,14,241,0.0580912863,0,0.6666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9135,320,80,80,1,80,configuration_error|required_state_loss,1,208,128,0,241,0.0,11,0.6666666667,0.1666666667,1,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9135,320,80,96,1,96,required_state_loss,1,160,64,14,241,0.0580912863,0,0.6666666667,0.0,0,0,0,0,0,0,19883,4357,0,1,0,0
stateful_task,unsigned_minimal_handoff,9135,320,80,192,1,192,required_state_loss,0,0,0,108,241,0.4481327801,0,0.6666666667,0.1666666667,0,0,1,0,0,0,1946,557,0,1,0,0
stateful_task,olp_handoff,9135,320,80,192,1,192,required_state_loss,0,0,0,108,241,0.4481327801,0,0.6666666667,0.1666666667,0,0,1,0,0,0,7274,1622,5,1,0,0
stateful_task,continuous_control,9136,320,80,112,1,112,configuration_error|required_state_loss,1,128,16,28,241,0.1161825726,0,0.3333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9136,320,80,80,1,80,configuration_error|required_state_loss,1,240,160,0,241,0.0,11,0.25,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9136,320,80,112,1,112,configuration_error|required_state_loss,1,128,16,28,241,0.1161825726,0,0.3333333333,0.0,0,0,0,0,0,0,19875,4362,0,1,0,0
stateful_task,unsigned_minimal_handoff,9136,320,80,176,1,176,required_state_loss,1,192,16,89,241,0.3692946058,0,0.3333333333,0.0,0,0,0,0,0,0,1948,557,0,1,0,0
stateful_task,olp_handoff,9136,320,80,176,1,176,required_state_loss,1,192,16,89,241,0.3692946058,0,0.3333333333,0.0,0,0,0,0,0,0,7276,1597,5,1,0,0
stateful_task,continuous_control,9137,320,80,112,1,112,configuration_error|required_state_loss,1,128,16,20,241,0.0829875519,0,0.4166666667,0.1666666667,0,1,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9137,320,80,80,1,80,configuration_error|required_state_loss,1,256,176,0,241,0.0,11,0.5833333333,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9137,320,80,112,1,112,configuration_error|required_state_loss,1,128,16,20,241,0.0829875519,0,0.4166666667,0.1666666667,0,1,0,0,0,0,19867,4359,0,1,0,0
stateful_task,unsigned_minimal_handoff,9137,320,80,176,1,176,required_state_loss,1,192,16,101,241,0.4190871369,0,0.5,0.1666666667,1,0,0,0,0,0,1944,557,0,1,0,0
stateful_task,olp_handoff,9137,320,80,176,1,176,required_state_loss,1,192,16,101,241,0.4190871369,0,0.5,0.1666666667,1,0,0,0,0,0,7272,1631,5,1,0,0
stateful_task,continuous_control,9138,320,80,112,1,112,required_state_loss,1,128,16,17,241,0.0705394191,0,0.5833333333,0.3333333333,0,0,0,1,1,0,0,0,0,0,0,0
stateful_task,empty_reset,9138,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.5,0.1666666667,0,0,0,0,0,1,45,17,0,1,0,0
stateful_task,full_history_handoff,9138,320,80,112,1,112,required_state_loss,1,128,16,17,241,0.0705394191,0,0.5833333333,0.3333333333,0,0,0,1,1,0,19875,4356,0,1,0,0
stateful_task,unsigned_minimal_handoff,9138,320,80,160,1,160,required_state_loss,1,176,16,70,241,0.2904564315,0,0.4166666667,0.0,0,0,0,0,0,0,1942,553,0,1,0,0
