schedule,seed,event_count,declared_horizon,last_event_time,failures,first_failure_event,n_f,mean_collision_burden,peak_collision_burden,damage_auc,peak_damage,final_event_damage,adjacent_conflict_count,conflicting_pair_count
clustered,6223,20,69,20,7,8,8,2.9160031484,5.544980495,46.3235175211,4.3879227438,4.3879227438,8,73
random_sparse_a,6223,20,69,69,3,8,8,1.0290592825,4.1525039914,11.9991446924,1.1319887565,0.3887678666,8,73
random_sparse_b,6223,20,69,69,2,8,8,1.1293527135,4.1674775348,12.5960365409,1.0367841734,0.5958541387,8,73
ulam_spaced,6223,20,69,69,2,8,8,1.1610518096,4.8271858934,13.3006337442,1.4415968297,0.2745571239,8,73
conflict_aware,6223,20,69,69,2,15,15,0.8158215312,1.4992007999,8.8996445739,0.8209590342,0.7769207304,8,73
clustered,6224,20,69,20,6,4,4,3.1606218924,6.7533287114,49.0580393156,4.7806480927,4.7806480927,9,77
random_sparse_a,6224,20,69,69,5,4,4,1.4635646725,4.5201587834,17.2226391153,1.7332165458,0.6857421024,9,77
random_sparse_b,6224,20,69,69,4,4,4,1.2530429391,5.0527574492,13.5287489524,1.6247550378,0.3494356821,9,77
ulam_spaced,6224,20,69,69,4,4,4,1.1891632072,4.5865550772,12.5939990095,1.401871252,0.3011845896,9,77
conflict_aware,6224,20,69,69,4,4,4,0.8930163128,2.4038094156,9.2659309017,0.6566492179,0.6566492179,9,77
clustered,6225,20,69,20,4,7,7,2.9438372886,7.0595684472,47.0639069344,4.6094291064,4.393759805,4,66
random_sparse_a,6225,20,69,69,0,,21,1.0498003229,3.7208373444,12.1369055714,1.4574832905,0.6352151679,4,66
random_sparse_b,6225,20,69,69,0,,21,0.7896523826,2.4682062658,8.640039015,0.7830112057,0.5423880336,4,66
ulam_spaced,6225,20,69,69,0,,21,0.9386797428,2.8322074608,10.1825330939,1.1819481193,0.2133592,4,66
conflict_aware,6225,20,69,69,0,,21,0.6349386012,1.6597539554,7.3033112689,0.5346059589,0.5028336024,4,66
clustered,6226,20,69,20,4,6,6,3.2002536381,9.337159692,47.1047197548,5.0611635578,5.0611635578,7,87
random_sparse_a,6226,20,69,69,2,6,6,1.2295437468,4.3362989373,13.6145632132,1.6280106401,0.7227564312,7,87
random_sparse_b,6226,20,69,69,1,6,6,1.0357547763,3.5659814783,11.3807505957,1.2569498928,0.5250721816,7,87
ulam_spaced,6226,20,69,69,2,6,6,1.1109288154,3.5796966771,11.7442837261,1.2531673368,0.4255674768,7,87
conflict_aware,6226,20,69,69,2,6,6,0.9033857928,2.1482706901,9.5103673946,0.8227617934,0.5987175434,7,87
clustered,6227,20,69,20,7,5,5,2.8891513845,6.3879004434,43.5283976559,4.5706257707,4.5706257707,7,71
random_sparse_a,6227,20,69,69,5,5,5,0.9719224929,3.1279602212,9.7378432499,0.9113816415,0.5980305147,7,71
random_sparse_b,6227,20,69,69,4,10,10,1.0392540267,2.8616516899,11.821222571,1.0156271107,0.5639707107,7,71
ulam_spaced,6227,20,69,69,5,5,5,1.0440145924,3.5930827605,11.8555741647,1.1626037473,0.3681785656,7,71
conflict_aware,6227,20,69,69,5,5,5,0.7898832365,1.8801750224,9.5069833836,0.6623908069,0.3561015606,7,71
clustered,6228,20,69,20,4,12,12,2.5055212882,5.8468682288,34.8135487211,4.3553431806,4.3553431806,8,61
random_sparse_a,6228,20,69,69,1,12,12,0.9609191006,2.7576362471,9.2083571749,1.0992252935,1.0992252935,8,61
random_sparse_b,6228,20,69,69,1,12,12,0.9773392571,2.6401248932,9.8768740919,1.0385790114,1.0385790114,8,61
ulam_spaced,6228,20,69,69,1,12,12,0.9157981547,2.3974198317,9.5288045479,0.7865317535,0.4335493488,8,61
conflict_aware,6228,20,69,69,2,12,12,0.7848246327,1.5414274436,9.4210754876,0.7903160453,0.3121812163,8,61
clustered,6229,20,69,20,3,15,15,2.3842603735,6.2954439947,32.6379378448,4.2348864719,4.2348864719,4,64
random_sparse_a,6229,20,69,69,2,15,15,0.7439570822,3.0231873961,7.2301606811,0.8558894909,0.8558894909,4,64
