world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_40,survival_80,survival_160,mean_active_context_tokens_40,mean_active_context_tokens_80,mean_active_context_tokens_160,peak_active_context_tokens,mean_checkpoint_accuracy_40,mean_checkpoint_accuracy_80,mean_checkpoint_accuracy_160,critical_omissions_40,critical_omissions_80,critical_omissions_160,critical_omission_rate_40,critical_omission_rate_80,critical_omission_rate_160,external_retrievals,successful_retrievals,quarantines,total_active_token_work,final_config_accuracy,final_requirement_accuracy
main,continuous_full_history,7383,160,20,1,20,0,0,0,1313.2,2370.4875,4504.7,8739,0.69791667,0.52604167,0.43229167,20,60,140,0.5,0.75,0.875,0,0,0,720752,0.3333333333,0.0
main,ordinary_summary_reset,7383,160,80,1,80,1,0,0,709.2,711.4875,713.2,1193,0.8125,0.85416667,0.796875,28,42,116,0.7,0.525,0.725,0,0,0,114112,1.0,1.0
main,verified_inheritance_capsule,7383,160,161,0,,1,1,1,581.45,624.2125,658.7375,1195,0.97916667,0.96875,0.91666667,10,20,66,0.25,0.25,0.4125,26,23,0,105398,1.0,1.0
main,capsule_conflict_aware,7383,160,161,0,,1,1,1,581.9,628.5,652.0375,1181,0.95833333,0.95833333,0.9453125,15,25,65,0.375,0.3125,0.40625,24,22,0,104326,1.0,1.0
pressure_disabled_null,continuous_full_history,7383,160,161,0,,1,1,1,1313.2,2370.4875,4504.7,8739,0.86458333,0.90104167,0.95052083,20,35,35,0.5,0.4375,0.21875,0,0,0,720752,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7383,160,161,0,,1,1,1,579.65,634.0625,660.5875,1159,0.86458333,0.90104167,0.95052083,20,35,56,0.5,0.4375,0.35,22,20,0,105694,1.0,1.0
main,continuous_full_history,7384,160,20,1,20,0,0,0,1357.625,2431.55,4552.5375,8745,0.82291667,0.56770833,0.453125,27,67,147,0.675,0.8375,0.91875,0,0,0,728406,0.4166666667,0.0
main,ordinary_summary_reset,7384,160,20,1,20,0,0,0,723.625,720.05,714.7875,1186,0.8125,0.89583333,0.92708333,27,34,80,0.675,0.425,0.5,0,0,0,114366,1.0,1.0
main,verified_inheritance_capsule,7384,160,161,0,,1,1,1,593.625,640.6,661.0625,1152,0.98958333,0.984375,0.98177083,7,14,38,0.175,0.175,0.2375,21,21,0,105770,1.0,1.0
main,capsule_conflict_aware,7384,160,161,0,,1,1,1,578.5,630.2625,654.8125,1152,0.98958333,0.99479167,0.97916667,7,7,25,0.175,0.0875,0.15625,21,21,0,104770,1.0,1.0
pressure_disabled_null,continuous_full_history,7384,160,161,0,,1,1,1,1357.625,2431.55,4552.5375,8745,1.0,1.0,1.0,0,0,3,0.0,0.0,0.01875,0,0,0,728406,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7384,160,161,0,,1,1,1,591.825,641.275,659.7125,1152,1.0,1.0,1.0,0,0,3,0.0,0.0,0.01875,21,21,0,105554,1.0,1.0
main,continuous_full_history,7385,160,20,1,20,0,0,0,1310.925,2364.4,4468.15625,8632,0.51041667,0.41145833,0.37760417,33,73,153,0.825,0.9125,0.95625,0,0,0,714905,0.4166666667,0.0
main,ordinary_summary_reset,7385,160,40,1,40,0,0,0,701.925,710.4,712.90625,1183,0.9375,0.9375,0.9296875,13,35,59,0.325,0.4375,0.36875,0,0,0,114065,1.0,1.0
main,verified_inheritance_capsule,7385,160,20,1,20,0,0,0,569.225,622.65,654.58125,1167,0.84375,0.921875,0.91666667,33,36,73,0.825,0.45,0.45625,29,22,6,104733,0.75,0.8333333333
main,capsule_conflict_aware,7385,160,20,1,20,0,0,0,586.925,626.05,648.9125,1185,0.90625,0.953125,0.92708333,20,21,62,0.5,0.2625,0.3875,29,22,7,103826,0.75,0.8333333333
