world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_160,survival_320,mean_active_context_tokens_160,mean_active_context_tokens_320,mean_checkpoint_accuracy_160,mean_checkpoint_accuracy_320,critical_omission_rate_160,critical_omission_rate_320,mean_epsilon_160,mean_epsilon_320,minimum_margin_160,minimum_margin_320,restorations,pruned_tokens,ecc_corrections,external_retrievals,quarantines,final_config_accuracy,final_requirement_accuracy
pressure_disabled_null,capsule_baseline,8157,320,25,1,25,0,0,726.0625,740.609375,0.8958333333333334,0.8984375,0.75,0.8125,0.10901133501116886,0.12373681256165905,0.3175942133786638,0.26063289134498,0,0,0,28,1,1.0,1.0
pressure_disabled_null,restoration_stack,8157,320,321,0,,1,1,718.1875,729.171875,0.9505208333333334,0.9401041666666666,0.65625,0.734375,0.09550461263298567,0.10902573401285273,0.5190385236576999,0.2674384886062351,0,240,8,28,1,1.0,1.0
main,capsule_baseline,8158,320,35,1,35,0,0,735.925,743.284375,0.9114583333333334,0.9166666666666666,0.78125,0.875,0.6856890787432797,0.7814090777975571,-0.09650499748208086,-0.5924480228490412,0,0,0,30,0,1.0,1.0
main,scheduled_prune_80,8158,320,35,1,35,0,0,728.05,731.846875,0.9114583333333334,0.9166666666666666,0.78125,0.875,0.6637540081028527,0.7475926842502344,-0.08654077146326644,-0.5399816544598994,0,240,0,30,0,1.0,1.0
main,fixed_retirement_85,8158,320,35,1,35,0,0,702.45625,694.39375,0.9114583333333334,0.92578125,0.78125,0.828125,0.6368975609196729,0.6848766434840946,-0.0674109877709772,-0.19471226165197342,3,0,0,48,0,1.0,1.0
main,telemetry_breaker,8158,320,35,1,35,0,0,644.0125,631.703125,0.921875,0.9270833333333334,0.6875,0.71875,0.4674650950693902,0.518868279755279,-0.0674109877709772,-0.5359366555463343,9,0,0,76,0,1.0,1.0
main,ecc_digest,8158,320,35,1,35,0,0,735.925,743.284375,0.9427083333333334,0.9505208333333334,0.6875,0.71875,0.6447824013808805,0.7180409911518747,-0.05457639994866703,-0.5801287590650526,0,0,11,30,0,1.0,1.0
main,restoration_stack,8158,320,35,1,35,0,0,641.79375,632.390625,0.9427083333333334,0.9609375,0.59375,0.609375,0.4437989254804068,0.48191406321888736,-0.05457639994866703,-0.05457639994866703,8,240,8,73,1,1.0,1.0
main,sham_retirement_85,8158,320,35,1,35,0,0,702.45625,694.39375,0.9114583333333334,0.9166666666666666,0.78125,0.875,0.6856890787432797,0.7814090777975571,-0.09650499748208086,-0.5377864843875027,3,0,0,30,0,1.0,1.0
pressure_disabled_null,capsule_baseline,8158,320,35,1,35,0,0,735.925,743.284375,0.9114583333333334,0.92578125,0.75,0.859375,0.11620932125963881,0.1278921906863776,0.40807653785074305,0.21013192880211484,0,0,0,30,0,1.0,1.0
pressure_disabled_null,restoration_stack,8158,320,35,1,35,0,0,728.05,731.846875,0.9427083333333334,0.9596354166666666,0.65625,0.65625,0.10549289652946499,0.11141749100034248,0.46467453152570226,0.21968972940027398,0,240,11,30,0,1.0,1.0
main,capsule_baseline,8159,320,321,0,,1,1,739.4375,745.346875,0.9348958333333334,0.9388020833333334,0.78125,0.828125,0.6563439614419292,0.7340146967788933,-0.3088999422898151,-0.3088999422898151,0,0,0,30,1,1.0,1.0
main,scheduled_prune_80,8159,320,321,0,,1,1,731.5625,733.909375,0.9348958333333334,0.9388020833333334,0.78125,0.828125,0.6358934908178127,0.7024030450161648,-0.3083615648060525,-0.3083615648060525,0,240,0,30,1,1.0,1.0
main,fixed_retirement_85,8159,320,321,0,,1,1,709.15625,698.753125,0.9348958333333334,0.94140625,0.78125,0.78125,0.6123989689391471,0.640631236988941,-0.30715490889410635,-0.30715490889410635,3,0,0,48,1,1.0,1.0
main,telemetry_breaker,8159,320,321,0,,1,1,622.8375,627.8875,0.9427083333333334,0.953125,0.65625,0.78125,0.4881870560021449,0.494621855590316,0.08161771648653282,0.08161771648653282,9,0,0,81,1,1.0,1.0
main,ecc_digest,8159,320,321,0,,1,1,739.4375,745.346875,0.96875,0.9661458333333334,0.625,0.71875,0.5972805529298515,0.6579878848774775,-0.08521537160877712,-0.08521537160877712,0,0,12,31,1,1.0,1.0
main,restoration_stack,8159,320,321,0,,1,1,628.83125,636.125,0.9713541666666666,0.9778645833333334,0.59375,0.65625,0.4775151409867931,0.4633213613821795,0.11954908547614185,0.11954908547614185,8,240,8,80,2,1.0,1.0
main,sham_retirement_85,8159,320,321,0,,1,1,709.15625,698.753125,0.9348958333333334,0.9388020833333334,0.78125,0.828125,0.6563439614419292,0.7340146967788933,-0.3088999422898151,-0.3088999422898151,3,0,0,30,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8159,320,321,0,,1,1,739.4375,745.346875,0.9453125,0.9466145833333334,0.75,0.78125,0.11111923664369305,0.1220835441113233,0.38636865679032917,0.38636865679032917,0,0,0,30,1,1.0,1.0
pressure_disabled_null,restoration_stack,8159,320,321,0,,1,1,731.5625,733.909375,0.9817708333333334,0.97265625,0.46875,0.609375,0.09427319629871536,0.10435542302784787,0.5374401679652243,0.5374401679652243,0,240,12,30,1,1.0,1.0
main,capsule_baseline,8160,320,321,0,,1,1,733.40625,742.91875,0.9453125,0.953125,0.71875,0.75,0.6513452924090753,0.6566642068270646,-0.37312604994222087,-0.37312604994222087,0,0,0,30,3,1.0,1.0
main,scheduled_prune_80,8160,320,321,0,,1,1,725.53125,731.48125,0.9453125,0.953125,0.71875,0.75,0.6355556225632123,0.6300061407787976,-0.36608833190434664,-0.36608833190434664,0,240,0,30,3,1.0,1.0
main,fixed_retirement_85,8160,320,321,0,,1,1,700.21875,694.559375,0.9557291666666666,0.9609375,0.6875,0.71875,0.5742691194737799,0.5628551505264392,-0.11753685571678973,-0.17517503315651406,3,0,0,47,3,1.0,1.0
main,telemetry_breaker,8160,320,321,0,,1,1,637.18125,660.16875,0.9505208333333334,0.96875,0.71875,0.71875,0.4703426622650061,0.4745235903066698,-0.03418203378530826,-0.03418203378530826,7,0,0,70,4,1.0,1.0
main,ecc_digest,8160,320,321,0,,1,1,733.40625,742.91875,0.9713541666666666,0.9765625,0.59375,0.65625,0.5797472710560302,0.5906037752921429,0.04216212749687809,0.04216212749687809,0,0,8,30,3,1.0,1.0
main,restoration_stack,8160,320,321,0,,1,1,636.50625,646.675,0.9869791666666666,0.9856770833333334,0.53125,0.578125,0.41167912709791044,0.4397589242839368,0.3708324753345563,0.14564832004012962,6,240,7,65,5,1.0,1.0
main,sham_retirement_85,8160,320,321,0,,1,1,700.21875,694.559375,0.9453125,0.953125,0.71875,0.75,0.6513452924090753,0.6566642068270646,-0.37312604994222087,-0.37312604994222087,3,0,0,30,3,1.0,1.0
pressure_disabled_null,capsule_baseline,8160,320,321,0,,1,1,733.40625,742.91875,0.9635416666666666,0.9635416666666666,0.65625,0.71875,0.10556361323169408,0.11162332858660266,0.4202007306979423,0.34156961152337406,0,0,0,30,3,1.0,1.0
pressure_disabled_null,restoration_stack,8160,320,321,0,,1,1,725.53125,731.48125,0.9739583333333334,0.9791666666666666,0.59375,0.65625,0.09821665947983303,0.09993230505000955,0.5369731433371359,0.5369731433371359,0,240,7,30,3,1.0,1.0
main,capsule_baseline,8161,320,321,0,,1,1,742.05,749.23125,0.9505208333333334,0.953125,0.78125,0.75,0.6455416910803865,0.6669217181714291,-0.24475481026016155,-0.4223086943961709,0,0,0,30,1,1.0,1.0
main,scheduled_prune_80,8161,320,321,0,,1,1,734.175,737.79375,0.9505208333333334,0.9557291666666666,0.78125,0.71875,0.627197538876045,0.6298345474522707,-0.24475481026016155,-0.4142748417418751,0,240,0,30,1,1.0,1.0
main,fixed_retirement_85,8161,320,321,0,,1,1,710.175,701.059375,0.9505208333333334,0.9557291666666666,0.78125,0.71875,0.6048172180697058,0.5973197260300331,-0.24475481026016155,-0.3695981363109162,3,0,0,48,1,1.0,1.0
main,telemetry_breaker,8161,320,321,0,,1,1,653.20625,648.890625,0.9713541666666666,0.9817708333333334,0.75,0.625,0.46050748679278836,0.4621613436299213,0.09947990898427661,0.08081334446007249,8,0,0,76,2,1.0,1.0
main,ecc_digest,8161,320,321,0,,1,1,742.05,749.23125,0.9817708333333334,0.9778645833333334,0.71875,0.6875,0.6058437403600834,0.6218551600209963,-0.07997915964624269,-0.21794988000303306,0,0,8,30,1,1.0,1.0
main,restoration_stack,8161,320,321,0,,1,1,645.33125,636.571875,0.9869791666666666,0.98828125,0.6875,0.625,0.44160742914567147,0.4403669292403848,0.1360331094610817,0.08148920235046075,8,240,4,77,2,1.0,1.0
main,sham_retirement_85,8161,320,321,0,,1,1,710.175,701.059375,0.9505208333333334,0.953125,0.78125,0.75,0.6455416910803865,0.6669217181714291,-0.24475481026016155,-0.4223086943961709,3,0,0,30,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8161,320,321,0,,1,1,742.05,749.23125,0.9609375,0.96484375,0.78125,0.703125,0.11072972102501458,0.11167683004485203,0.30824490338394017,0.17589756530549028,0,0,0,30,1,1.0,1.0
pressure_disabled_null,restoration_stack,8161,320,321,0,,1,1,734.175,737.79375,0.9869791666666666,0.9830729166666666,0.65625,0.640625,0.10074879316986891,0.10047313234228587,0.4248245204944454,0.333250868422303,0,240,6,30,1,1.0,1.0
main,capsule_baseline,8162,320,321,0,,1,1,733.8625,743.921875,0.9609375,0.9479166666666666,0.6875,0.796875,0.5513198792909336,0.6032421801027635,0.05440071193525309,0.05440071193525309,0,0,0,30,0,1.0,1.0
main,scheduled_prune_80,8162,320,321,0,,1,1,725.9875,732.484375,0.9609375,0.9479166666666666,0.6875,0.796875,0.5317696057858556,0.577993890116751,0.05440071193525309,0.05440071193525309,0,240,0,30,0,1.0,1.0
main,fixed_retirement_85,8162,320,321,0,,1,1,702.64375,697.171875,0.9609375,0.9505208333333334,0.625,0.703125,0.49499622360109125,0.5257107248055424,0.05440071193525309,0.05440071193525309,3,0,0,45,0,1.0,1.0
main,telemetry_breaker,8162,320,321,0,,1,1,637.575,648.053125,0.9713541666666666,0.96875,0.59375,0.65625,0.3997422337201127,0.4191344714410309,0.36609746487290273,0.36609746487290273,7,0,0,69,0,1.0,1.0
main,ecc_digest,8162,320,321,0,,1,1,733.8625,743.921875,0.9817708333333334,0.9713541666666666,0.65625,0.640625,0.5287509007362218,0.5668995872566017,0.10387689172507164,0.10387689172507164,0,0,6,29,0,1.0,1.0
main,restoration_stack,8162,320,321,0,,1,1,647.8375,647.196875,0.9817708333333334,0.9765625,0.53125,0.546875,0.4033710764014106,0.41625470958445243,0.38552262148410743,0.20314726680035378,6,240,5,65,0,1.0,1.0
main,sham_retirement_85,8162,320,321,0,,1,1,702.64375,697.171875,0.9609375,0.9479166666666666,0.6875,0.796875,0.5513198792909336,0.6032421801027635,0.05440071193525309,0.05440071193525309,3,0,0,30,0,1.0,1.0
pressure_disabled_null,capsule_baseline,8162,320,321,0,,1,1,733.8625,743.921875,0.9609375,0.9479166666666666,0.65625,0.765625,0.09402909959142548,0.1041167355834853,0.5157585896868071,0.5157585896868071,0,0,0,29,0,1.0,1.0
pressure_disabled_null,restoration_stack,8162,320,321,0,,1,1,725.9875,732.484375,0.9817708333333334,0.9713541666666666,0.625,0.625,0.08546132072517897,0.09363614324475762,0.7039715033631325,0.6410247946818834,0,240,6,29,0,1.0,1.0
main,capsule_baseline,8163,320,321,0,,1,1,739.61875,750.303125,0.921875,0.9440104166666666,0.84375,0.765625,0.6084364234961044,0.6281930176150249,-0.07817498258846234,-0.5072986705554092,0,0,0,30,1,1.0,1.0
main,scheduled_prune_80,8163,320,321,0,,1,1,731.74375,738.865625,0.921875,0.9440104166666666,0.84375,0.765625,0.5863642173372646,0.602810266043818,-0.07817498258846234,-0.5056328020073897,0,240,0,30,1,1.0,1.0
main,fixed_retirement_85,8163,320,321,0,,1,1,708.4,702.13125,0.921875,0.9388020833333334,0.78125,0.71875,0.5606201025394102,0.5588492621802088,-0.07817498258846234,-0.4921937550534652,3,0,0,47,2,1.0,1.0
main,telemetry_breaker,8163,320,321,0,,1,1,682.60625,687.565625,0.9609375,0.9765625,0.75,0.6875,0.4854797253191475,0.46594054062287693,0.06536630359528117,0.06536630359528117,5,0,0,57,2,1.0,1.0
main,ecc_digest,8163,320,321,0,,1,1,739.61875,750.303125,0.953125,0.96484375,0.6875,0.65625,0.5675966599246183,0.5938367003300946,-0.07508793979465334,-0.41843227393613747,0,0,6,30,1,1.0,1.0
