world,mode,schedule,seed,horizon_ticks,n_f_ticks,failed,first_failure_tick,disturbances_at_failure,final_disturbances_seen,mean_checkpoint_accuracy,minimum_checkpoint_accuracy,critical_omission_events,mean_critical_omissions,peak_critical_omissions,mean_active_context_tokens,peak_active_context_tokens,peak_instantaneous_rate,peak_rolling_rate_burden,synthetic_damage_auc,total_token_work,final_config_accuracy,final_requirement_accuracy
rate_sensitive,ordinary_summary,steady_load,8206,160,161,0,,,20,0.9895833333,0.9166666667,2,0.125,1,361.85,530,0.1666666667,3.8243892885,46.0326304006,3500,1.0,1.0
rate_sensitive,ordinary_summary,sudden_burst,8206,160,20,1,20,3,20,0.9114583333,0.75,9,0.75,2,361.19375,530,0.8333333333,9.5563,592.6978147406,3500,0.75,0.8333333333
rate_sensitive,ordinary_summary,burst_recovery,8206,160,161,0,,,20,1.0,1.0,2,0.125,1,378.09375,530,0.3333333333,5.807438411,117.5257587294,3500,1.0,1.0
rate_sensitive,verified_capsule,slow_drip,8206,160,148,1,148,19,20,0.96875,0.75,3,0.1875,1,377.2375,550,0.1666666667,3.4370359366,44.9082531893,3500,1.0,1.0
rate_sensitive,verified_capsule,steady_load,8206,160,146,1,146,19,20,0.96875,0.75,3,0.1875,1,376.975,550,0.1666666667,3.8243892885,53.0326304006,3500,1.0,1.0
rate_sensitive,verified_capsule,sudden_burst,8206,160,101,1,101,14,20,0.9635416667,0.6666666667,5,0.3125,1,376.31875,550,0.8333333333,9.5563,587.1978147406,3500,1.0,1.0
rate_sensitive,verified_capsule,burst_recovery,8206,160,141,1,141,19,20,0.9635416667,0.75,4,0.25,1,393.21875,550,0.3333333333,5.807438411,126.7757587294,3500,1.0,1.0
rate_disabled_null,continuous_history,slow_drip,8206,160,20,1,20,3,20,0.640625,0.5,15,2.25,3,613.175,1090,0.1666666667,3.4370359366,119.6582531893,3500,0.6666666667,0.5
rate_disabled_null,continuous_history,steady_load,8206,160,20,1,20,3,20,0.640625,0.5,15,2.25,3,612.9125,1090,0.1666666667,3.8243892885,127.7826304006,3500,0.6666666667,0.5
rate_disabled_null,continuous_history,sudden_burst,8206,160,20,1,20,3,20,0.6354166667,0.5833333333,15,2.25,3,612.25625,1090,0.8333333333,9.5563,658.6978147406,3500,0.6666666667,0.5
