condition,policy,seed,cycles,violations,first_failure_cycle,n_f,final_active_unresolved,final_active_tips,max_active_unresolved,max_burial_depth,mean_top_decile_capture,mean_top_decile_expected_share,frontier_capture_lift,walker_attachment_count,walker_fallback_count,walker_fallback_rate,mean_walker_steps,largest_branch_share,branch_hhi,repair_attempts,repair_successes,repair_budget_used,recovery_probes,recovery_successes,recovery_rate,mean_recovery_cost,mean_recovery_depth,mean_interior_shielded_cycles,receipt_enabled
diffusive_first_contact,tip_targeted,5157,48,16,40,40,37,10,37,10,0.4090909090909091,0.16499152104605333,0.2440993880448558,44,0,0.0,196.02272727272728,0.8648648648648649,0.7574872169466765,12,11,12,6,4,0.6666666666666666,8.25,6.666666666666667,20.48148148148148,1
uniform_null,no_intervention,5158,48,16,30,30,48,27,48,6,0.14634146341463414,0.16290454688976352,-0.016563083475129387,0,0,,,0.8125,0.6675347222222222,0,0,0,6,0,0.0,,5.333333333333333,14.19047619047619,0
uniform_null,logging_only,5158,48,16,30,30,48,27,48,6,0.14634146341463414,0.16290454688976352,-0.016563083475129387,0,0,,,0.8125,0.6675347222222222,0,0,0,6,6,1.0,6.333333333333333,5.333333333333333,14.19047619047619,1
uniform_null,random_repair,5158,48,15,35,35,39,24,39,6,0.12195121951219512,0.16746917396273647,-0.045517954450541354,0,0,,,0.6923076923076923,0.5082182774490467,12,9,12,6,4,0.6666666666666666,5.75,4.833333333333333,13.2,1
uniform_null,oldest_first,5158,48,15,43,43,38,23,38,6,0.07317073170731707,0.17046017717878278,-0.09728944547146572,0,0,,,0.7105263157894737,0.5332409972299169,12,10,12,6,4,0.6666666666666666,5.75,5.166666666666667,9.0,1
uniform_null,tip_targeted,5158,48,15,43,43,37,19,37,6,0.14634146341463414,0.1694977926798129,-0.02315632926517877,0,0,,,1.0,1.0,12,11,12,6,5,0.8333333333333334,6.2,5.333333333333333,15.444444444444445,1
least_capture_balancer,no_intervention,5158,48,15,30,30,48,7,48,13,0.8780487804878049,0.16290454688976352,0.7151442335980414,0,0,,,0.2916666666666667,0.16927083333333334,0,0,0,6,0,0.0,,12.0,23.51219512195122,0
least_capture_balancer,logging_only,5158,48,15,30,30,48,7,48,13,0.8780487804878049,0.16290454688976352,0.7151442335980414,0,0,,,0.2916666666666667,0.16927083333333334,0,0,0,6,1,0.16666666666666666,8.0,12.0,23.51219512195122,1
least_capture_balancer,random_repair,5158,48,15,34,34,40,14,40,13,0.6829268292682927,0.16704694394014546,0.5158798853281472,0,0,,,0.25,0.1575,12,8,12,6,1,0.16666666666666666,8.0,12.0,19.0,1
least_capture_balancer,oldest_first,5158,48,15,43,43,38,7,38,13,0.7560975609756098,0.1711238089399755,0.5849737520356343,0,0,,,0.15789473684210525,0.14542936288088643,12,10,12,6,1,0.16666666666666666,8.0,12.0,17.70967741935484,1
least_capture_balancer,tip_targeted,5158,48,15,35,35,41,10,41,7,0.6585365853658537,0.1693408131449827,0.48919577222087096,0,0,,,0.2926829268292683,0.18619869125520522,12,7,12,6,5,0.8333333333333334,7.2,6.333333333333333,21.419354838709676,1
diffusive_first_contact,no_intervention,5158,48,15,30,30,48,17,48,8,0.34146341463414637,0.16290454688976352,0.17855886774438284,41,0,0.0,207.5121951219512,0.5,0.3107638888888889,0,0,0,6,0,0.0,,6.0,21.161290322580644,0
diffusive_first_contact,logging_only,5158,48,15,30,30,48,17,48,8,0.34146341463414637,0.16290454688976352,0.17855886774438284,41,0,0.0,207.5121951219512,0.5,0.3107638888888889,0,0,0,6,3,0.5,6.333333333333333,6.0,21.161290322580644,1
diffusive_first_contact,random_repair,5158,48,15,36,36,38,16,38,8,0.3902439024390244,0.16948868265008749,0.22075521978893692,41,0,0.0,223.73170731707316,0.42105263157894735,0.23961218836565093,12,10,12,6,3,0.5,6.333333333333333,6.0,16.90909090909091,1
