run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
primary,fresh_ground_truth,alternating,707,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,alternating,707,20,11,1,11,0.6875,0.33333333,0.33333333,9,3,0,5340,1
primary,prose_summary,alternating,707,20,1,1,1,0.54166667,0.41666667,0.5,14,4,3,5304,0
primary,receipt_ancestry,alternating,707,20,17,1,17,0.95833333,0.83333333,0.83333333,4,1,1,5698,1
primary,fresh_ground_truth,randomized,707,20,20,1,20,0.9375,0.75,0.83333333,0,1,1,5820,1
primary,persistent_history,randomized,707,20,5,1,5,0.60416667,0.41666667,0.33333333,15,4,1,5416,1
primary,prose_summary,randomized,707,20,4,1,4,0.5625,0.25,0.16666667,15,4,3,5304,0
primary,receipt_ancestry,randomized,707,20,11,1,11,0.89583333,1.0,1.0,8,2,2,5695,1
primary,fresh_ground_truth,low_to_high,808,20,10,1,10,0.95833333,1.0,1.0,2,1,1,5810,1
primary,persistent_history,low_to_high,808,20,5,1,5,0.52083333,0.25,0.16666667,11,4,4,5215,1
primary,prose_summary,low_to_high,808,20,3,1,3,0.58333333,0.75,0.5,12,4,4,5294,1
primary,receipt_ancestry,low_to_high,808,20,6,1,6,0.77083333,0.91666667,1.0,9,3,3,5654,1
primary,fresh_ground_truth,high_to_low,808,20,1,1,1,0.95833333,1.0,1.0,2,1,1,5810,1
primary,persistent_history,high_to_low,808,20,10,1,10,0.60416667,0.33333333,0.16666667,9,3,3,5424,1
primary,prose_summary,high_to_low,808,20,1,1,1,0.5,0.58333333,0.66666667,17,4,4,5294,0
primary,receipt_ancestry,high_to_low,808,20,8,1,8,0.75,0.5,0.83333333,7,3,3,5698,1
primary,fresh_ground_truth,alternating,808,20,1,1,1,1.0,1.0,1.0,2,0,0,5810,1
primary,persistent_history,alternating,808,20,11,1,11,0.64583333,0.08333333,0.16666667,10,3,3,5330,1
primary,prose_summary,alternating,808,20,1,1,1,0.60416667,0.66666667,0.66666667,19,4,4,5294,0
primary,receipt_ancestry,alternating,808,20,12,1,12,0.83333333,0.91666667,1.0,5,2,2,5674,1
primary,fresh_ground_truth,randomized,808,20,9,1,9,0.95833333,1.0,1.0,2,1,1,5810,1
primary,persistent_history,randomized,808,20,10,1,10,0.64583333,0.25,0.16666667,8,3,3,5346,1
primary,prose_summary,randomized,808,20,2,1,2,0.58333333,0.58333333,0.83333333,14,4,4,5294,1
primary,receipt_ancestry,randomized,808,20,4,1,4,0.70833333,0.75,1.0,12,4,3,5666,1
primary,fresh_ground_truth,low_to_high,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,low_to_high,909,20,6,1,6,0.70833333,0.66666667,0.5,12,4,3,5255,1
primary,prose_summary,low_to_high,909,20,5,1,5,0.66666667,0.58333333,0.0,16,4,1,5284,1
primary,receipt_ancestry,low_to_high,909,20,9,1,9,0.83333333,1.0,1.0,4,3,2,5649,1
