condition,policy,seed,cycle,tip_id,tip_depth,receipt_used,success,recovery_cost,failure_reason
least_capture_balancer,logging_only,5104,40,le-5104-015,14,1,0,13,recovery_budget_exhausted
least_capture_balancer,logging_only,5104,48,le-5104-015,14,1,0,13,recovery_budget_exhausted
least_capture_balancer,random_repair,5104,8,le-5104-008,7,1,0,3,receipt_reference_unavailable
least_capture_balancer,random_repair,5104,16,le-5104-015,14,1,0,1,receipt_reference_unavailable
least_capture_balancer,random_repair,5104,24,le-5104-015,14,1,0,8,receipt_reference_unavailable
least_capture_balancer,random_repair,5104,32,le-5104-015,14,1,0,13,recovery_budget_exhausted
least_capture_balancer,random_repair,5104,40,le-5104-015,14,1,0,13,recovery_budget_exhausted
least_capture_balancer,random_repair,5104,48,le-5104-015,14,1,0,1,receipt_reference_unavailable
least_capture_balancer,oldest_first,5104,8,le-5104-008,7,1,0,3,receipt_reference_unavailable
least_capture_balancer,oldest_first,5104,16,le-5104-015,14,1,0,10,receipt_reference_unavailable
least_capture_balancer,oldest_first,5104,24,le-5104-015,14,1,0,3,receipt_reference_unavailable
least_capture_balancer,oldest_first,5104,32,le-5104-015,14,1,0,5,receipt_reference_unavailable
least_capture_balancer,oldest_first,5104,40,le-5104-015,14,1,0,1,receipt_reference_unavailable
least_capture_balancer,oldest_first,5104,48,le-5104-015,14,1,0,2,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5104,8,le-5104-007,3,1,1,4,
least_capture_balancer,tip_targeted,5104,16,le-5104-015,8,1,0,2,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5104,24,le-5104-018,10,1,0,4,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5104,32,le-5104-017,9,1,0,6,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5104,40,le-5104-017,9,1,0,2,receipt_reference_unavailable
least_capture_balancer,tip_targeted,5104,48,le-5104-017,9,1,1,10,
diffusive_first_contact,no_intervention,5104,8,di-5104-006,4,0,1,5,
diffusive_first_contact,no_intervention,5104,16,di-5104-010,6,0,0,2,visible_parent_lost
diffusive_first_contact,no_intervention,5104,24,di-5104-021,7,0,0,1,visible_parent_lost
diffusive_first_contact,no_intervention,5104,32,di-5104-026,7,0,0,1,visible_parent_lost
diffusive_first_contact,no_intervention,5104,40,di-5104-036,8,0,0,1,visible_parent_lost
diffusive_first_contact,no_intervention,5104,48,di-5104-036,8,0,0,1,visible_parent_lost
diffusive_first_contact,logging_only,5104,8,di-5104-006,4,1,0,4,receipt_reference_unavailable
diffusive_first_contact,logging_only,5104,16,di-5104-010,6,1,1,7,
diffusive_first_contact,logging_only,5104,24,di-5104-021,7,1,1,8,
diffusive_first_contact,logging_only,5104,32,di-5104-026,7,1,1,8,
diffusive_first_contact,logging_only,5104,40,di-5104-036,8,1,1,9,
diffusive_first_contact,logging_only,5104,48,di-5104-036,8,1,0,3,receipt_reference_unavailable
diffusive_first_contact,random_repair,5104,8,di-5104-008,3,1,0,3,receipt_reference_unavailable
diffusive_first_contact,random_repair,5104,16,di-5104-013,6,1,1,7,
diffusive_first_contact,random_repair,5104,24,di-5104-024,7,1,0,7,receipt_reference_unavailable
diffusive_first_contact,random_repair,5104,32,di-5104-025,8,1,0,5,receipt_reference_unavailable
diffusive_first_contact,random_repair,5104,40,di-5104-025,8,1,1,9,
diffusive_first_contact,random_repair,5104,48,di-5104-025,8,1,1,9,
